epoch_id,train_serial,train_loss,train_iou,train_elapsed_time,val_loss,val_iou,val_elapsed_time
0,20231120_044313,0.11342089880257845,0.37227338532606774,117.7,0.044371875450015065,0.4876850446065267,12.7
1,20231120_044313,0.04280083908389012,0.4640197484691941,112.7,0.040184331039587656,0.43449181040128065,12.5
2,20231120_044313,0.03974839388082425,0.47675563176472996,112.5,0.039066119119524956,0.4715020004908243,12.7
3,20231120_044313,0.038415876155098276,0.48275758445262884,110.2,0.037286159892876945,0.48340451717376715,13.2
4,20231120_044313,0.03629605226839582,0.49292083909114215,113.0,0.037100650717814765,0.4450442997614543,12.6
5,20231120_044313,0.0356594527233392,0.4956276926398277,112.5,0.036462187469005584,0.5245477712154388,12.9
6,20231120_044313,0.03476941214874387,0.5002992883324623,111.5,0.035840346117814385,0.47128878474235525,12.3
7,20231120_044313,0.03413468933974703,0.5035524516304334,113.0,0.037771317039926845,0.5174777738253274,12.4
8,20231120_044313,0.03417545311773817,0.5053166070580485,111.9,0.03570583194494247,0.5159916150569915,12.2
9,20231120_044313,0.033518997859209775,0.5039300062259034,112.2,0.03545627370476723,0.48910724600156136,12.4
10,20231120_044313,0.03269452049707373,0.5148528992136316,112.3,0.03684076840678851,0.46984813213348386,13.0
